"_time",host,User,ParentImage,Image,CommandLine
"2026-05-08T12:24:53.723-0400","RYANS-DESKTOP","RYANS-DESKTOP\Ryan-Local","C:\Users\rjh62\AppData\Local\Temp\is-GAHUN.tmp\CodeSetup-stable-8b640eef5a6c6089c029249d48efa5c99adf7d51.tmp","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","""powershell.exe"" -NoLogo -NoProfile -NonInteractive -WindowStyle Hidden -ExecutionPolicy Bypass -Command ""Get-AppxPackage -Name 'Microsoft.VisualStudioCode' | Select-Object -ExpandProperty PackageFullName"""
"2026-05-08T12:24:54.375-0400","RYANS-DESKTOP","RYANS-DESKTOP\Ryan-Local","C:\Users\rjh62\AppData\Local\Temp\is-GAHUN.tmp\CodeSetup-stable-8b640eef5a6c6089c029249d48efa5c99adf7d51.tmp","C:\Windows\SysWOW64\WindowsPowerShell\v1.0\powershell.exe","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoLogo -NoProfile -NonInteractive -WindowStyle Hidden -ExecutionPolicy Bypass -Command ""Remove-AppxPackage -Package 'Microsoft.VisualStudioCode_1.0.118.1_neutral__8wekyb3d8bbwe'"""
